x,y,vx,vy,paddle.y
960,245,5,5,200
955,240,5,5,200
950,235,5,5,200
945,230,5,5,200
940,225,5,5,200
935,220,5,5,200
930,215,5,5,200
925,210,5,5,200
920,205,5,5,200
915,200,5,5,200
910,195,5,5,200
905,190,5,5,200
900,185,5,5,200
895,180,5,5,200
890,175,5,5,200
885,170,5,5,200
880,165,5,5,200
875,160,5,5,200
870,155,5,5,200
865,150,5,5,200
860,145,5,5,200
855,140,5,5,200
850,135,5,5,200
845,130,5,5,200
840,125,5,5,200
835,120,5,5,200
830,115,5,5,200
825,110,5,5,200
820,105,5,5,200
815,100,5,5,200
810,95,5,5,200
805,90,5,5,200
800,85,5,5,200
795,80,5,5,200
790,75,5,5,200
785,70,5,5,200
780,65,5,5,200
775,60,5,5,200
770,55,5,5,200
765,50,5,5,200
760,45,5,5,200
755,40,5,5,200
750,35,5,5,200
745,40,5,-5,200
740,45,5,-5,200
735,50,5,-5,200
730,55,5,-5,200
725,60,5,-5,200
720,65,5,-5,200
715,70,5,-5,200
710,75,5,-5,200
705,80,5,-5,200
700,85,5,-5,200
695,90,5,-5,200
690,95,5,-5,200
685,100,5,-5,200
680,105,5,-5,200
675,110,5,-5,200
670,115,5,-5,200
665,120,5,-5,200
660,125,5,-5,200
655,130,5,-5,200
650,135,5,-5,200
645,140,5,-5,200
640,145,5,-5,200
635,150,5,-5,200
630,155,5,-5,200
625,160,5,-5,200
620,165,5,-5,200
615,170,5,-5,200
610,175,5,-5,200
605,180,5,-5,200
600,185,5,-5,200
595,190,5,-5,200
590,195,5,-5,200
585,200,5,-5,200
580,205,5,-5,200
575,210,5,-5,200
570,215,5,-5,200
565,220,5,-5,200
560,225,5,-5,200
555,230,5,-5,200
550,235,5,-5,200
545,240,5,-5,200
540,245,5,-5,200
535,250,5,-5,200
530,255,5,-5,200
525,260,5,-5,200
520,265,5,-5,200
515,270,5,-5,200
510,275,5,-5,200
505,280,5,-5,200
500,285,5,-5,200
495,290,5,-5,200
490,295,5,-5,200
485,300,5,-5,200
480,305,5,-5,200
475,310,5,-5,200
470,315,5,-5,200
465,320,5,-5,200
460,325,5,-5,200
455,330,5,-5,200
450,335,5,-5,200
445,340,5,-5,200
440,345,5,-5,200
435,350,5,-5,200
430,355,5,-5,200
425,360,5,-5,200
420,365,5,-5,200
415,370,5,-5,200
410,375,5,-5,200
405,380,5,-5,200
400,385,5,-5,200
395,390,5,-5,200
390,395,5,-5,200
385,400,5,-5,200
380,405,5,-5,200
375,410,5,-5,200
